Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,411911885;0,189141929;9,692028046;2,219424963;9,944698561
0,413911885;0,150834709;9,699210167;2,379836559;9,988045405
0,415897885;0,150834709;9,699210167;2,379836559;9,988045405
0,417897885;0,129286885;9,687239647;2,389413357;9,978407852
0,419897885;0,093373865;9,646537781;2,221819162;9,8995399
0,421897885;0,081402861;9,648932457;2,341529369;9,929314366
0,423897885;0,067037649;9,617807388;2,425326347;9,919118958
0,425897885;0,057460841;9,608230591;2,315192938;9,883395933
0,427897635;0,052672438;9,610625267;2,214636564;9,862631876
0,429897412;0,047884032;9,615413666;2,389413357;9,907964929
0,431897212;0,050278235;9,608230591;2,353500366;9,892400465
0,43389703;0,057460841;9,624990463;2,197877169;9,872912803
0,435894696;0,057460841;9,624990463;2,197877169;9,872912803
0,437894542;0,033518825;9,61301899;2,238578558;9,870283257
0,439894399;0,038307227;9,610625267;2,11647439;9,840988228
0,441894132;0,062249243;9,624990463;2,00873518;9,832564946
0,443893882;0,047884032;9,639355659;2,164358377;9,8794695
0,445893646;0,02873042;9,641749382;2,145204782;9,877553348
0,447893423;0,023942016;9,656114578;1,9321208;9,847548566
0,449893212;0,021547815;9,670479774;2,001552582;9,875467387
0,451893012;0,007182605;9,665691376;2,056619167;9,882070823
0,453892821;0,011971008;9,706393242;1,8602947;9,883061744
0,455891366;0,011971008;9,706393242;1,8602947;9,883061744
0,457891105;0,004788403;9,720758438;2,039859772;9,932481836
0,459890855;0,002394202;9,732728958;2,023100376;9,940772296
0,461890615;0,002394202;9,747094154;1,845929503;9,920348074
0,463890384;0;9,766247749;1,980004787;9,96493924
0,465890161;0,002394202;9,771036148;2,075772762;9,989093337
0,467889946;-0,007182605;9,778219223;1,984793186;9,977626309
0,469889739;-0,01436521;9,799766541;1,936909199;9,989356729
0,471889539;-0,033518825;9,799766541;2,128445387;10,02830133
0,473889272;-0,02873042;9,804554939;1,951274395;9,996879251
0,475889005;-0,021547815;9,809343338;1,987187386;10,00862602
0,477888738;-0,031124622;9,811738014;2,097320795;10,03344039
0,479888471;-0,026336219;9,799766541;2,161964178;10,03544752
0,481888204;-0,031124622;9,783007622;2,066195965;9,998868568
0,483887937;-0,01436521;9,790189743;1,994369984;9,991272852
0,48588767;-0,026336219;9,802161217;2,190694571;10,04401318
0,48788747;-0,009576807;9,799766541;2,15478158;10,03387261
0,489887203;0,011971008;9,816526413;1,953668594;10,00905366
0,491886936;0,009576807;9,821314812;2,068590164;10,03680136
0,493886669;0,023942016;9,840468407;1,884236693;10,01926842
0,495886402;0,023942016;9,840468407;1,884236693;10,01926842
0,497886135;0,02873042;9,878775597;1,886630893;10,05735596
0,499885868;0;9,929053307;2,027888775;10,13402351
0,501885668;0,009576807;9,938630104;1,980004787;10,13394686
0,503885468;0,033518825;9,986514091;1,764526606;10,14125936
0,505885201;0,055066638;10,06073475;1,872265697;10,23361104
0,507884934;0,045489833;10,10622501;1,908178806;10,28489182
0,509884667;0,047884032;10,12537861;1,798045516;10,28389773
0,5118844;0,076614454;10,20678139;1,728613615;10,35240847
0,513884133;0,057460841;10,27142429;1,831564307;10,43360372
0,515883866;0,064643443;10,27142429;1,714248419;10,41369211
0,517883666;0,067037649;10,29776096;1,618480325;10,42438744
0,519883399;0,050278235;10,36001015;1,726219416;10,50296014
0,521883132;0,04309563;10,40549946;1,774103403;10,55574342
0,523882865;0,059855044;10,41028786;1,659181833;10,54184805
0,525882598;0,093373865;10,44380665;1,589749932;10,5645218
0,527882331;0,093373865;10,47732544;1,769315004;10,62607842
0,529882064;0,081402861;10,47732544;1,742978811;10,62162652
0,531881797;0,057460841;10,48450851;1,544260144;10,5977809
0,533881597;0;10,48211479;1,714248419;10,62136423
0,53588133;0;10,48211479;1,714248419;10,62136423
0,537881063;-0,011971008;10,45338345;1,59693253;10,57466606
0,539880796;-0,059855044;10,42225933;1,52510643;10,53342403
0,541880529;-0,138863698;10,38395214;1,707065821;10,52424909
0,543880262;-0,153228909;10,34564495;1,690306425;10,48393935
0,545879995;-0,172382519;10,29057789;1,510741234;10,40230975
0,547879728;-0,193930343;10,2283287;1,656787634;10,36345803
0,549879528;-0,208295554;10,19720459;1,70946002;10,34159669
0,551879294;-0,208295554;10,09664822;1,616086125;10,22728833
0,55387906;-0,237025961;9,960178375;1,798045516;10,12394697
0,555878826;-0,237025961;9,960178375;1,798045516;10,12394697
0,557878592;-0,248996973;9,90271759;1,78128612;10,06473027
0,559878358;-0,229843363;9,787796021;1,628057122;9,924935713
0,561878124;-0,229843363;9,689633369;1,78128612;9,85468432
0,56387789;-0,222660765;9,646537781;1,850717902;9,824989859
0,565877723;-0,196324542;9,545981407;1,742978811;9,705785877
0,567877489;-0,16759412;9,483732224;1,697489023;9,635908554
0,569877255;-0,210689753;9,419088364;1,908178806;9,612739575
0,571877021;-0,229843363;9,373599052;1,877054095;9,56245362
0,573876787;-0,179565132;9,249100685;1,757344007;9,416281914
0,575876553;-0,179565132;9,249100685;1,757344007;9,416281914
0,577876319;-0,160411507;9,234735489;1,771709204;9,404521514
0,579876152;-0,16759412;9,198822021;1,649604917;9,347064285
0,581875985;-0,16759412;9,179668427;1,577778935;9,315781587
0,583875751;-0,158017308;9,174880028;1,699883223;9,332362829
0,585875517;-0,143652096;9,162909508;1,63763392;9,309210032
0,587875283;-0,143652096;9,138967514;1,391031146;9,245341032
0,589875049;-0,1316811;9,134179115;1,474828243;9,253414849
0,591874815;-0,119710088;9,124602318;1,458068848;9,241139688
0,593874581;-0,093373865;9,172486305;1,235408068;9,255779643
0,595874414;-0,093373865;9,172486305;1,235408068;9,255779643
0,597874247;-0,090979666;9,194033623;1,37666595;9,296974814
0,599874013;-0,081402861;9,20361042;1,335964561;9,300423243
0,601873779;-0,067037649;9,196428299;1,120486379;9,264679014
0,603873545;-0,052672438;9,215581894;1,235408068;9,298169558
0,605873311;-0,062249243;9,220370293;1,302445769;9,312114061
0,607873077;-0,04309563;9,206005096;1,15161097;9,277855081
0,609872843;-0,011971008;9,217975616;1,091755986;9,282410727
0,611872643;-0,002394202;9,234735489;1,268926859;9,321508497
0,613872376;0,02873042;9,20361042;1,074996591;9,266222956
0,615872109;0,035913024;9,217975616;1,106121182;9,284172999
0,617871842;0,02873042;9,232340813;1,204283476;9,310598316
0,619871575;0,050278235;9,227552414;1,273715258;9,315181266
0,621871308;0,067037649;9,239523888;1,134851575;9,309198881
0,623871041;0,093373865;9,263465881;1,127668977;9,332317833
0,625870774;0,079008654;9,277831078;1,302445769;9,369138533
0,627870574;0,090979666;9,270648003;1,26653266;9,357205601
0,629870307;0,122104287;9,275436401;1,091755986;9,340265576
0,63187004;0,134075299;9,313743591;1,233013868;9,395962913
0,633869773;0,158017308;9,349657059;1,175553083;9,424594508
0,635869506;0,158017308;9,349657059;1,175553083;9,424594508
0,637869239;0,18435353;9,385569572;1,15161097;9,457753975
0,639868972;0,191536129;9,440636635;1,323993564;9,534949665
0,641868705;0,18435353;9,45979023;1,278503656;9,547575033
0,643868505;0,191536129;9,502885818;1,098938584;9,568134143
0,645868238;0,20350714;9,572318077;1,233013868;9,653549178
0,647867971;0,20590134;9,593865395;1,280897856;9,681185252
0,649867704;0,20350714;9,634567261;1,091755986;9,698362366
0,651867437;0,193930343;9,689633369;1,039083481;9,747117435
0,65386717;0,213083953;9,775824547;1,019929886;9,83119562
0,655867003;0,213083953;9,775824547;1,019929886;9,83119562
0,657866736;0,222660765;9,785401344;0,952892303;9,834208714
0,659866536;0,189141929;9,842862129;1,113303781;9,907429277
0,661866269;0,165199921;9,87638092;1,18991828;9,949175675
0,663866002;0,141257897;9,873987198;1,063025594;9,932049154
0,665865735;0,10055647;9,905111313;1,060631394;9,962242753
0,667865468;0,04309563;9,929053307;1,271321058;10,01020549
0,669865201;0,031124622;9,919476509;1,244984865;9,997348162
0,671864934;-0,02873042;9,900322914;1,101332784;9,961433288
0,673864734;-0,14844051;9,881169319;1,321599364;9,970264118
0,675864534;-0,14844051;9,881169319;1,321599364;9,970264118
0,677864267;-0,134075299;9,893140793;1,230619669;9,970287644
0,679864;-0,088585466;9,895534515;1,22583127;9,971565225
0,681863733;-0,08379706;9,859622002;1,393425345;9,957951705
0,683863466;-0,107739076;9,830891609;1,321599364;9,91991242
0,685863199;-0,198718742;9,802161217;1,419761658;9,906441178
0,687862932;-0,213083953;9,790189743;1,422155857;9,895238615
0,689862732;-0,217872351;9,778219223;1,419761658;9,883155503
0,691862465;-0,210689753;9,756670952;1,424550056;9,862370967
0,693862198;-0,193930343;9,718363762;1,424550056;9,824130804
0,695861931;-0,193930343;9,718363762;1,424550056;9,824130804
0,697861664;-0,18674773;9,703998566;1,424550056;9,809781126
0,699861397;-0,179565132;9,682451248;1,441309452;9,7907854
0,70186113;-0,198718742;9,639355659;1,407790542;9,743641048
0,703860863;-0,189141929;9,632172585;1,400607944;9,735308212
0,705860663;-0,172382519;9,615413666;1,41018486;9,719800257
0,707860396;-0,162805721;9,591471672;1,414973259;9,696648074
0,709860129;-0,174776718;9,555558205;1,422155857;9,66238929
0,711859862;-0,172382519;9,548376083;1,426944256;9,655950055
0,713859595;-0,162805721;9,495702744;1,472434044;9,610563891
0,715859228;-0,162805721;9,495702744;1,472434044;9,610563891
0,717858961;-0,16759412;9,476549149;1,501164436;9,596174562
0,719858694;-0,196324542;9,435848236;1,52510643;9,560320334
0,721858494;-0,191536129;9,39514637;1,527500629;9,520436942
0,723858227;-0,208295554;9,349657059;1,541865945;9,478228988
0,72585796;-0,198718742;9,330503464;1,553836942;9,461088376
0,727857693;-0,198718742;9,308955193;1,565807939;9,441816055
0,729857426;-0,20350714;9,289801598;1,594538331;9,427851365
0,731857159;-0,220266551;9,275436401;1,618480325;9,418158862
0,733856892;-0,251391172;9,215581894;1,632845521;9,362496017
0,735856625;-0,251391172;9,215581894;1,632845521;9,362496017
0,737856425;-0,304063618;9,198822021;1,649604917;9,350506812
0,739856158;-0,337582439;9,174880028;1,625662923;9,323902904
0,741855891;-0,325611442;9,146149635;1,563413739;9,284521446
0,743855624;-0,287304193;9,148544312;1,572990537;9,287233493
0,745855357;-0,287304193;9,138967514;1,570596337;9,277394234
0,74785509;-0,304063618;9,112630844;1,575384736;9,252801341
0,749854823;-0,294486821;9,08868885;1,623268723;9,237206767
0,751854623;-0,292092621;9,079112053;1,642422318;9,231096622
0,753854423;-0,313640416;9,036016464;1,649604917;9,19071054
0,755854256;-0,313640416;9,036016464;1,649604917;9,19071054
0,757853989;-0,320823014;9,024045944;1,630451322;9,175767223
0,759853722;-0,316034615;9,019257545;1,632845521;9,171317738
0,761853455;-0,299275219;8,966584206;1,642422318;9,120677006
0,763853188;-0,301669419;8,968978882;1,654393315;9,12527281
0,765852921;-0,304063618;8,954613686;1,649604917;9,110365378
0,767852721;-0,306457818;8,945036888;1,651999116;9,101467047
0,769852454;-0,299275219;8,928277016;1,651999116;9,08475631
0,771852187;-0,294486821;8,940248489;1,651999116;9,096365572
0,77385192;-0,313640416;8,988132477;1,616086125;9,137649046
0,775851653;-0,313640416;8,988132477;1,616086125;9,137649046
0,777851386;-0,318428814;9,016862869;1,589749932;9,161469192
0,779851119;-0,29688102;9,047987938;1,553836942;9,18523997
0,781850852;-0,284909993;9,064746857;1,534683347;9,198155372
0,783850652;-0,280121595;9,122207642;1,505952835;9,249920773
0,785850385;-0,299275219;9,160514832;1,460463047;9,281031729
0,787850118;-0,289698392;9,184456825;1,438915253;9,301002604
0,789849851;-0,275333196;9,24191761;1,398213744;9,351141703
0,791849584;-0,265756398;9,313743591;1,321599364;9,410795451
0,793849317;-0,239420176;9,42148304;1,290474772;9,512464971
0,79584905;-0,239420176;9,42148304;1,290474772;9,512464971
0,797848783;-0,244208574;9,435848236;1,288080573;9,526490504
0,799848583;-0,227449164;9,474155426;1,314416766;9,567603963
0,801848316;-0,208295554;9,495702744;1,30005157;9,586547435
0,803848049;-0,16759412;9,502885818;1,319205165;9,595479609
0,805847782;-0,158017308;9,476549149;1,343147159;9,572564835
0,807847515;-0,172382519;9,450213432;1,386242747;9,552901057
0,809847248;-0,165199921;9,431059837;1,41257906;9,537691559
0,811846981;-0,150834709;9,414299965;1,453280449;9,527004724
0,813846714;-0,098162271;9,347262383;1,546654344;9,474866202
0,815846414;-0,105344877;9,323320389;1,570596337;9,455272258
0,817846147;-0,119710088;9,292196274;1,59932673;9,429585785
0,81984588;-0,14844051;9,222764015;1,666364431;9,373269498
0,821845613;-0,105344877;9,131784439;1,714248419;9,29189067
0,823845346;-0,071826048;9,091083527;1,733402014;9,255141339
0,825845079;-0,04309563;8,995314598;1,798045516;9,173358689
0,827844812;-0,04309563;8,918700218;1,908178806;9,120647848
0,829844612;-0,062249243;8,880393028;1,953668594;9,092968508
0,831844412;-0,057460841;8,779836655;2,018311977;9,00901863
0,833844145;-0,021547815;8,564358711;2,097320795;8,817451954
0,835843878;-0,021547815;8,564358711;2,097320795;8,817451954
0,837843611;-0,033518825;8,50450325;2,130839586;8,767449822
0,839843344;-0,14844051;8,296208382;2,142810583;8,569757598
0,841843077;-0,052672438;8,114249229;2,102109194;8,382283579
0,84384281;-0,021547815;8,092700958;2,130839586;8,36855725
0,84584261;0,026336219;8,030451775;2,173935175;8,319545868
0,84784241;0,04309563;7,867646217;2,217030764;8,174162932
0,849842143;0,059855044;7,666532993;2,260126352;7,992964525
0,851841876;0,067037649;7,551611423;2,26970315;7,885612311
0,853841609;0,112527482;7,23557663;2,296039343;7,591971303
0,855841342;0,112527482;7,23557663;2,296039343;7,591971303
0,857841075;0,114921682;7,206846237;2,353500366;7,582269031
0,859840808;0,1316811;7,075165272;2,401384354;7,472747175
0,861840608;0,08379706;6,866869926;2,427720547;7,283869273
0,863840341;0,064643443;6,639420509;2,422932148;7,068004221
0,865840074;0,074220255;6,529287338;2,439691544;6,970595141
0,867839807;0,031124622;6,301837921;2,52827692;6,79016304
0,86983954;-0,016759412;5,997774601;2,580949545;6,529539156
0,871839273;-0,019153614;5,890035629;2,597708941;6,437466762
0,873839006;0,088585466;5,624279022;2,540247917;6,171970624
0,875838739;0,088585466;5,624279022;2,540247917;6,171970624
0,877838539;0,119710088;5,504569054;2,525882721;6,057614588
0,879838272;0,112527482;5,384859085;2,499546528;5,937769164
0,881838005;0,069431849;5,121496677;2,446874142;5,676419828
0,883837738;0,026336219;4,841075897;2,418143749;5,411481186
0,885837471;-0,002394202;4,687847137;2,430114746;5,28028164
0,887837204;-0,107739076;4,359841347;2,45166254;5,003046421
0,889836937;-0,110133275;4,120420933;2,406172752;4,772804764
0,89183667;-0,079008654;4,01747036;2,398990154;4,679900022
0,89383647;0,045489833;3,962403774;2,367865562;4,616221433
0,895836203;0,045489833;3,962403774;2,367865562;4,616221433
0,897835936;0,126892686;3,883395195;2,288856745;4,509514962
0,899835669;0,177170932;3,821146011;2,245761156;4,435762567
0,901835402;0,263362199;3,703830004;2,157175779;4,294312947
