Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,953628957;0,351947635;-0,749385118;1,085770488;1,365409369
0,963584582;-0,395043284;-3,150769472;0,976834297;3,32229028
0,973551223;-0,566228688;-4,959589005;0,650025785;5,033951881
0,983540793;-0,523133099;-5,778405666;-0,123301387;5,803347613
0,993536386;-0,262165099;-5,108029366;-0,92895025;5,198426984
1,00377814;-0,969651699;-2,871845007;-1,009155989;3,19470092
1,013581465;-1,794454217;-0,608127236;-1,150413871;2,216604779
1,023557425;-2,342726469;1,027112484;-0,830788016;2,689523395
1,033534702;-2,371456861;1,883039594;-0,511162043;3,070982317
1,043724616;-1,878251195;2,178723574;-0,270544797;2,889266074
1,053658974;-1,012747288;2,190694571;-0,16879122;2,419357404
1,0635492;-0,14844051;1,788468719;0,113724582;1,798218069
1,073541735;0,925358951;0,972045898;0,288501292;1,372732826
1,083549513;2,124854088;0,118512981;-0,015562311;2,128213431
1,093885641;2,688688517;-0,286107093;-0,292092621;2,719599476
1,103738315;2,33793807;-0,231040463;-0,130484;2,352947129
1,113653897;2,37624526;0,229843363;-0,129286885;2,390833454
1,123528484;1,881842494;1,505952835;1,128866076;2,661496521
1,133679163;2,070984364;3,01070857;0,666785181;3,714558494
1,143550883;1,302445769;4,800374508;-0,588973641;5,008677505
1,153477004;-0,025139118;7,086836815;1,250970364;7,196444599
1,163456991;-2,181117773;9,54807663;2,765302896;10,17693186
1,173692375;-4,034229755;16,4290123;6,349422932;18,06938367
1,18357051;-3,42131424;22,08052444;6,953958988;23,40112169
1,19356252;-1,462857246;31,17729378;9,311050415;32,57083448
1,20355501;0,567425787;38,89380646;10,30344677;40,23942306
1,213593781;1,689109325;39,2218132;9,003395081;40,27734902
1,223574468;0,719457626;39,2218132;3,541024208;39,38790554
1,233501218;-0,093373865;34,20595932;2,885013103;34,32753519
1,243516494;0,128089786;28,08039474;2,476801634;28,18970596
1,254194991;-0,107739076;26,30270004;2,706645012;26,4418147
1,263887964;0,626083732;24,92244339;3,557783842;25,18289084
1,273657002;0,254982471;22,77244949;3,646369219;23,0639433
1,283786209;0,302866518;18,3743;3,410540342;18,69059694
1,293660708;-0,378283858;13,60983944;3,169923067;13,9792432
1,303615458;-0,665588081;9,583989143;1,814804912;9,776981756
1,313773249;-0,881066203;6,107608318;0,693121374;6,209635598
1,323668369;-0,776918471;2,710236311;0,16639702;2,824300115
1,333519184;-0,444124401;-0,474051923;-0,207098454;0,681807508
1,3434573;0,195127442;-2,967612982;-0,181959331;2,979582307
1,353413728;-0,66798228;-6,874950409;-1,406593442;7,049088492
1,363465483;-0,533906996;-8,643068314;-2,315192938;8,963693708
1,373508652;-0,78050977;-8,949525833;-2,315192938;9,277032202
1,383782503;-0,791283667;-2,938882589;-0,59615624;3,101380818
1,393585991;-0,791283667;-2,938882589;-0,48243165;3,081541986
1,403494584;-0,154426008;-0,119710088;-0,116118781;0,227291594
1,413912239;-0,16759412;-0,112527482;-0,04070143;0,205929186
1,423717473;-0,339976639;-0,271741897;-0,110133275;0,448951124
1,433734101;-0,542286694;-0,70628953;-0,197521642;0,912104466
1,443914941;-0,671573579;-1,414973259;-0,432153404;1,624782127
1,453747079;-0,841561913;-2,213439465;-0,659602582;2,458173363
1,464172185;-0,894234359;-2,705447912;-0,490811348;2,891366333
1,473801873;-0,804451764;-2,85867691;-0,004788403;2,969713664
1,484043879;-0,605733037;-2,825158119;0,605733037;2,952176049
1,493747955;0,01316811;-2,527079821;0,85473001;2,667746092
1,50366843;1,698686123;-1,394622445;1,246181965;2,526554135
1,513655074;2,995146275;0,616506934;2,381033659;3,875603603
1,523832589;3,82713151;2,990357876;2,946065187;5,680534826
1,533676632;5,337872505;6,72890377;2,426523447;8,925191587
1,543605138;3,186682463;10,97142887;2,37624526;11,66935037
1,553523662;0,29568392;13,95939255;2,525882721;14,18915617
1,563527351;-2,498349428;15,65688229;3,373430252;16,20986565
1,573474665;-4,859032154;16,41105461;6,542156219;18,32301053
1,583592618;-4,297592163;17,54590797;6,564900875;19,22046067
1,593568496;1,110909581;22,09369278;5,440823555;22,78086789
1,603499951;8,70172596;33,28299332;9,787496567;35,76692282
